"﻿enabled","id","title","series","type","mana","hp_cost","discard_cost","attack","hp","move_Range","attack_Range","fast_action","deckbuilding","text","source","asset_path","notes"
"1","armored_beast","Armored Beast","","Character","4","0","0","3","6","2","2","0","1","Taunt","asset","Assets/TcgEngine/Resources/Cards/Forest/armored_beast.asset",""
"1","ashes_snake","Ashes Snake","","Character","5","0","0","6","4","2","2","0","1","测试用白板","asset","Assets/TcgEngine/Resources/Cards/Fire/ashes_snake.asset",""
"1","attack_ally_card","攻击","","Spell","1","0","0","0","0","2","2","0","1","对攻击距离内的敌人造成攻击力的伤害","asset","Assets/TcgEngine/Resources/Cards/vc5/art/attack_ally_card.asset",""
"1","bay","Bay","","Artifact","2","0","0","0","5","2","2","0","1","When a blue creature you own dies, draw a card.","asset","Assets/TcgEngine/Resources/Cards/Water/bay.asset",""
"1","bear","Bear","","Character","5","0","0","4","5","2","2","0","1","<b>Play:</b> Gain Taunt or Fury","asset","Assets/TcgEngine/Resources/Cards/Forest/bear.asset",""
"1","bull_heat","Heat Bull","","Character","3","0","0","2","5","2","2","0","1","Spell damage +1.","asset","Assets/TcgEngine/Resources/Cards/Fire/bull_heat.asset",""
,"card_vc5_gear_armor","强化装甲","vc5","Spell","1","0","0","0","0","0","0","0","1","强化装甲","asset","Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_armor.asset",""
,"card_vc5_gear_bomb","组装自爆机器人","vc5","Spell","1","0","0","0","0","0","0","0","1","组装自爆机器人","asset","Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_bomb.asset",""
,"card_vc5_gear_cannon","组装蒸汽巨炮","vc5","Spell","3","0","0","0","0","0","0","0","1","组装蒸汽巨炮","asset","Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_cannon.asset",""
,"card_vc5_gear_charge","机械充能","vc5","Spell","1","0","0","0","0","0","0","0","1","机械充能","asset","Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_charge.asset",""
,"card_vc5_gear_collect","零件搜集","vc5","Spell","1","0","0","0","0","0","0","0","1","零件搜集","asset","Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_collect.asset",""
,"card_vc5_gear_fix","紧急维修","vc5","Spell","1","0","0","0","0","0","0","0","1","紧急维修","asset","Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_fix.asset",""
,"card_vc5_gear_mech","组装巨型机甲","vc5","Spell","3","0","0","0","0","0","0","0","1","组装巨型机甲","asset","Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_mech.asset",""
,"card_vc5_gear_mine","过度开采","vc5","Spell","0","0","0","0","0","0","0","0","1","过度开采","asset","Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_mine.asset",""
,"card_vc5_gear_overload","过载指令","vc5","Spell","2","0","0","0","0","0","0","0","1","过载指令","asset","Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_overload.asset",""
,"card_vc5_gear_recycle","零件回收","vc5","Secret","1","0","0","0","0","0","0","0","1","零件回收","asset","Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_recycle.asset",""
,"card_vc5_gear_repair","组装维修站","vc5","Spell","2","0","0","0","0","0","0","0","1","组装维修站","asset","Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_repair.asset",""
