enabled,id,title,series,type,mana,hp_cost,discard_cost,attack,hp,move_Range,attack_Range,fast_action,deckbuilding,text,source,asset_path,notes
1,hero_vc5_slime_blood,血腥黏黏,黏黏,Character,0,0,0,1,12,5,2,0,1,粘液+伤害型,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_slime_blood.asset,
1,hero_vc5_slime_corrosive,腐蚀黏黏,黏黏,Character,0,0,0,1,14,5,3,0,1,粘液+减速控制,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_slime_corrosive.asset,
1,hero_vc5_slime_giant,巨臂黏黏,黏黏,Character,0,0,0,1,11,5,2,0,1,粘液+位移控制,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_slime_giant.asset,
1,hero_vc5_slime_hard,坚硬黏黏,黏黏,Character,0,0,0,0,15,5,3,0,1,粘液+防御减伤,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_slime_hard.asset,
1,hero_vc5_slime_hard2,坚硬黏黏2,黏黏,Character,0,0,0,1,13,5,2,0,1,粘液+召唤进攻,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_slime_hard2.asset,
1,hero_vc5_dragon_berserker,狂龙,龙族,Character,0,0,0,2,10,3,2,0,1,龙息+尖锐+爆发,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_dragon_berserker.asset,
1,hero_vc5_dragon_blood,血龙,龙族,Character,0,0,0,2,12,3,1,0,1,龙息+龙焰冲锋,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_dragon_blood.asset,
1,hero_vc5_dragon_sacrifice,祭龙,龙族,Character,0,0,0,2,14,3,1,0,1,龙息+生命消耗+辅助,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_dragon_sacrifice.asset,
1,hero_vc5_dragon_shadow,影龙,龙族,Character,0,0,0,1,11,4,1,0,1,龙息+龙影潜行+暗袭,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_dragon_shadow.asset,
1,hero_vc5_dragon_breaker,破龙,龙族,Character,0,0,0,1,16,3,1,0,1,龙息+龙爪破盾+压制,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_dragon_breaker.asset,
1,hero_vc5_wind_jungle,林风,风灵,Character,0,0,0,1,14,5,1,0,1,流风+风之追击,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wind_jungle.asset,
1,hero_vc5_wind_chaser,追风,风灵,Character,0,0,0,1,12,6,1,0,1,流风+连续移动+位置控制,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wind_chaser.asset,
1,hero_vc5_wind_raider,掠风,风灵,Character,0,0,0,2,10,5,1,0,1,流风+风之击退+战场控制,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wind_raider.asset,
1,hero_vc5_wind_warden,御风,风灵,Character,0,0,0,0,15,4,2,0,1,流风+风墙+区域控制,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wind_warden.asset,
1,hero_vc5_wind_guard,风之守护,风灵,Character,0,0,0,0,16,4,2,0,1,流风+移动守护+风之庇护,asset,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wind_guard.asset,
1,card_vc5_dragon_breath_store,龙息积蓄,龙族,Spell,1,0,0,0,0,0,0,0,1,本回合攻击力+2，获得3层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_breath_store.asset,
1,card_vc5_dragon_blood_boil,龙血沸腾,龙族,Spell,0,0,0,0,0,0,0,0,1,支付2生命，获得4层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_blood_boil.asset,
1,card_vc5_dragon_roar_minor,龙威初显,龙族,Spell,1,0,0,0,0,0,0,0,1,攻击范围内敌人移动力-1，龙族使用获得4层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_roar_minor.asset,
1,card_vc5_dragon_claw_strike,龙爪重击,龙族,Spell,1,0,0,0,0,0,0,0,1,造成2+攻击力伤害，龙族使用获得3层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_claw_strike.asset,
1,card_vc5_dragon_scale_armor,龙鳞护甲,龙族,Spell,1,0,0,0,0,0,0,0,1,获得2点护盾，龙族使用获得2层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_scale_armor.asset,
1,card_vc5_dragon_heart_awaken,龙心觉醒,龙族,Spell,2,0,0,0,0,0,0,0,1,抽1张牌，龙族使用获得3层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_heart_awaken.asset,
1,card_vc5_dragon_flame_ignite,龙焰引燃,龙族,Spell,1,0,0,0,0,0,0,0,1,造成1点龙焰伤害，龙族使用获得2层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_flame_ignite.asset,
1,card_vc5_dragon_gaze,龙之凝视,龙族,Spell,1,0,0,0,0,0,0,0,1,查看对方手牌，龙族使用获得2层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_gaze.asset,
1,card_vc5_dragon_flame_burst,龙焰爆发,龙族,Spell,2,0,0,0,0,0,0,0,1,造成等同于龙息层数的龙焰伤害，消耗所有龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_flame_burst.asset,
1,card_vc5_dragon_scale_shield,龙鳞护体,龙族,Spell,1,0,0,0,0,0,0,0,1,获得等同于龙息层数/2的护盾，不消耗龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_scale_shield.asset,
1,card_vc5_dragon_breath_infuse,龙息灌注,龙族,Spell,1,0,0,0,0,0,0,0,1,本回合攻击力+龙息层数/2，消耗4层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_breath_infuse.asset,
1,card_vc5_dragon_flame_spray,龙焰喷射,龙族,Spell,2,0,0,0,0,0,0,0,1,对攻击距离内所有敌人造成龙息层数/3的龙焰伤害，消耗6层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_flame_spray.asset,
1,card_vc5_dragon_blood_frenzy,龙血狂暴,龙族,Spell,1,0,0,0,0,0,0,0,1,本回合每有1层龙息攻击额外造成1伤害，消耗3层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_blood_frenzy.asset,
1,card_vc5_dragon_soul_shield,龙魂护盾,龙族,Spell,2,0,0,0,0,0,0,0,1,获得等同于龙息层数的护盾，消耗所有龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_soul_shield.asset,
1,card_vc5_dragon_flame_chain,龙焰连喷,龙族,Spell,2,0,0,0,0,0,0,0,1,对攻击距离内所有敌人造成1+攻击力伤害并附加1层龙焰，每击中1个敌人获得1层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_flame_chain.asset,
1,card_vc5_dragon_blood_sacrifice,龙血献祭,龙族,Spell,0,0,0,0,0,0,0,0,1,支付2生命获得1层尖锐，获得3层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_blood_sacrifice.asset,
1,card_vc5_dragon_heart_recover,龙心复苏,龙族,Spell,1,0,0,0,0,0,0,0,1,恢复2生命，龙族使用每3层龙息额外恢复1生命,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_heart_recover.asset,
1,card_vc5_dragon_roar_fury,龙威震怒,龙族,Spell,2,0,0,0,0,0,0,0,1,造成2+攻击力伤害，龙息≥8时眩晕目标，获得2层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_roar_fury.asset,
1,card_vc5_dragon_scale_retaliate,龙鳞反击,龙族,Spell,1,0,0,0,0,0,0,0,1,受到伤害时对攻击者造成龙息层数/2的伤害，消耗2层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_scale_retaliate.asset,
1,card_vc5_dragon_flame_enchant,龙焰附魔,龙族,Spell,1,0,0,0,0,0,0,0,1,下1次攻击附加龙息层数/4的龙焰伤害，消耗2层龙息,asset,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_dragon_flame_enchant.asset,
