enabled,id,title,series,type,mana,attack,hp,move_range,attack_range,asset_path,notes
1,hero_vc5_gear_engineer,机械工程师,vc5,hero,0,1,12,3,2,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_gear_engineer.asset,
1,hero_vc5_gear_knight,机甲骑士,vc5,hero,0,2,14,3,1,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_gear_knight.asset,
1,hero_vc5_gear_crafter,战地工匠,vc5,hero,0,1,10,3,2,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_gear_crafter.asset,
1,hero_vc5_gear_commander,要塞指挥官,vc5,hero,0,1,16,2,2,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_gear_commander.asset,
1,hero_vc5_gear_inventor,疯狂发明家,vc5,hero,0,0,11,4,1,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_gear_inventor.asset,
1,card_vc5_gear_salvage,拆解回收,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_salvage.asset,
1,card_vc5_gear_scrap,紧急铸造,vc5,spell,0,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_scrap.asset,
1,card_vc5_gear_collect,零件搜集,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_collect.asset,
1,card_vc5_gear_scavenge,战场拾荒,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_scavenge.asset,
1,card_vc5_gear_charge,机械充能,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_charge.asset,
1,card_vc5_gear_recycle,零件回收,vc5,secret,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_recycle.asset,
1,card_vc5_gear_warmup,核心预热,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_warmup.asset,
1,card_vc5_gear_mine,过度开采,vc5,spell,0,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_mine.asset,
