"﻿enabled","id","title","series","type","mana","hp_cost","discard_cost","attack","hp","move_Range","attack_Range","fast_action","deckbuilding","text","source","asset_path","notes"
"1","hero_fire","Fire Spirit","","Hero","0","0","0","0","0","2","2","0","0","","asset","Assets/TcgEngine/Resources/Cards/Hero/hero_fire.asset",""
"1","hero_forest","Forest Spirit","","Hero","0","0","0","0","0","2","2","0","0","","asset","Assets/TcgEngine/Resources/Cards/Hero/hero_forest.asset",""
,"hero_vc5_gear_commander","要塞指挥官","vc5","Character","0","0","0","1","16","2","2","0","0","要塞指挥官","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_gear_commander.asset",""
,"hero_vc5_gear_crafter","战地工匠","vc5","Character","0","0","0","1","10","3","2","0","0","战地工匠","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_gear_crafter.asset",""
,"hero_vc5_gear_engineer","机械工程师","vc5","Character","0","0","0","1","12","3","2","0","0","机械工程师","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_gear_engineer.asset",""
,"hero_vc5_gear_inventor","疯狂发明家","vc5","Character","0","0","0","0","11","4","1","0","0","疯狂发明家","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_gear_inventor.asset",""
,"hero_vc5_gear_knight","机甲骑士","vc5","Character","0","0","0","2","14","3","1","0","0","机甲骑士","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_gear_knight.asset",""
,"hero_vc5_rune_blade","符文剑士","vc5","Character","0","0","0","2","13","4","1","0","0","符文剑士","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_rune_blade.asset",""
,"hero_vc5_rune_chronomancer","时空旅者","vc5","Character","0","0","0","1","10","4","2","0","0","时空旅者","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_rune_chronomancer.asset",""
,"hero_vc5_rune_elementalist","元素法师","vc5","Character","0","0","0","1","11","3","3","0","0","元素法师","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_rune_elementalist.asset",""
,"hero_vc5_rune_summoner","奥术召唤师","vc5","Character","0","0","0","0","12","3","2","0","0","奥术召唤师","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_rune_summoner.asset",""
,"hero_vc5_rune_warden","符文守护者","vc5","Character","0","0","0","1","16","2","2","0","0","符文守护者","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_rune_warden.asset",""
,"hero_vc5_wild_bear","巨熊战士","vc5","Character","0","0","0","2","16","3","1","0","0","巨熊战士","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wild_bear.asset",""
,"hero_vc5_wild_druid","藤蔓德鲁伊","vc5","Character","0","0","0","1","13","3","2","0","0","藤蔓德鲁伊","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wild_druid.asset",""
,"hero_vc5_wild_hawk","鹰眼部落","vc5","Character","0","0","0","1","10","5","3","0","0","鹰眼部落","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wild_hawk.asset",""
,"hero_vc5_wild_shaman","灵魂萨满","vc5","Character","0","0","0","0","14","3","2","0","0","灵魂萨满","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wild_shaman.asset",""
,"hero_vc5_wild_wolf","狼群领袖","vc5","Character","0","0","0","2","12","4","1","0","0","狼群领袖","asset","Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wild_wolf.asset",""
"1","hero_water","Water Spirit","","Hero","0","0","0","0","0","2","2","0","0","","asset","Assets/TcgEngine/Resources/Cards/Hero/hero_water.asset",""
