ability_id,card_id,trigger,target_rule,value,mana_cost,hp_cost,discard_cost,uses_per_turn,effect_set_id,condition_triggerer_trait,condition_triggerer_trait_value,chain_next,status_type,status_value,status_duration
vc5_slime_heavy_pick,card_slime_heavy,OnPlay,SelectAllyHero,0,0,0,0,0,eff_store_triggerer,,,vc5_slime_heavy_hit,,0,0
vc5_slime_heavy_hit,card_slime_heavy,None,SelectEnemyInTriggererRange,2,0,0,0,0,eff_slime_heavy_hit,,,vc5_slime_heavy_extra,,0,0
vc5_slime_heavy_extra,card_slime_heavy,None,LastTargeted,1,0,0,0,0,eff_apply_slime_1,slime,1,,Slime,1,0
vc5_slime_combo_pick,card_slime_combo,OnPlay,SelectAllyHero,0,0,0,0,0,eff_store_triggerer,,,vc5_slime_combo_hit,,0,0
vc5_slime_combo_hit,card_slime_combo,None,SelectAnyInTriggererRange,1,0,0,0,0,eff_slime_combo_hit,,,vc5_slime_combo_extra,,0,0
vc5_slime_combo_extra,card_slime_combo,None,LastTargeted,1,0,0,0,0,eff_slime_combo_extra,slime,1,,,0,0
vc5_slime_spray_pick,card_slime_spray,OnPlay,SelectAllyHero,0,0,0,0,0,eff_store_triggerer,,,vc5_slime_spray_hit,,0,0
vc5_slime_spray_hit,card_slime_spray,None,SelectAnyInTriggererRangePlus1,0,0,0,0,0,eff_slime_spray_apply_or_heal,,,,,0,0
vc5_slime_pool_play,card_slime_pool,OnPlay,SelectEmptySlotNearAlly2,0,0,0,0,0,eff_slime_pool_summon,,,,Sleep,1,2
vc5_slime_attach_pick,card_slime_attach,OnPlay,SelectAllyHero,0,0,0,0,0,eff_store_triggerer,,,vc5_slime_attach_hit,,0,0
vc5_slime_attach_hit,card_slime_attach,None,SelectAnyInTriggererRangePlus1,0,0,0,0,0,eff_slime_attach_status,,,,,0,0
vc5_slime_split,card_slime_split,OnPlay,SelectAnyWithSlime,0,0,0,0,0,eff_slime_split_summon,,,,,0,0
vc5_slime_merge,card_slime_merge,OnPlay,SelectAllySlimeSpawn,0,0,0,0,0,eff_slime_merge,,,,,0,0
vc5_slime_boom_pick,card_slime_boom,OnPlay,SelectAllyHero,0,0,0,0,0,eff_store_triggerer,,,vc5_slime_boom,,0,0
vc5_slime_boom,card_slime_boom,None,SelectAllyCard,0,0,0,0,0,eff_slime_boom_explode,,,vc5_slime_boom_extra,,0,0
vc5_slime_boom_extra,card_slime_boom,None,LastTargeted,0,0,0,0,0,eff_slime_boom_random_slime,slime,1,,,0,0
vc5_slime_sharpen_pick,card_slime_sharpen,OnPlay,SelectAllyCard,0,0,0,0,0,eff_slime_sharpen,,,,AddAttack,2,1
vc5_slime_run_pick,card_slime_run,OnPlay,SelectAllyHero,0,0,0,0,0,eff_store_triggerer,,,vc5_slime_run_move,,0,0
vc5_slime_run_move,card_slime_run,None,SelectEmptySlotRange2OrAllySpawnIfSlime,0,0,0,0,0,eff_slime_run_move,,,,,0,0
vc5_slime_detonate,card_slime_detonate,OnPlay,SelectAnyCard,1,0,0,0,0,eff_slime_detonate,,,,,0,0
