card_id,卡包,系列,名称,类型,字段,cost_mana,cost_hp,cost_discard,cost_special,快速行动,响应牌,target_rule,effect_key,基础效果_text,特殊触发_text,特殊效果_text,备注,player_read_text
card_slime_heavy,Vol.01,黏黏,黏黏重击,攻击,黏黏|重击,1,0,0,,0,0,攻击距离内任意敌方单位,damage_from_triggerer_attack_plus_base,让一个我方英雄对攻击距离内任意敌方单位造成2+攻击力伤害,使用者为黏黏,额外附加1层粘液,,"【效果】让一个我方英雄，对攻击距离内的一个任意敌人造成2+攻击力的伤害。
【特殊效果】若本卡由黏黏使用，额外附加1层粘液。""【效果】让一个我方英雄，对攻击距离内的一个任意敌人造成2+攻击力的伤害。
【特殊效果】若本卡由黏黏使用，额外附加1层粘液。"
card_slime_combo,Vol.01,黏黏,黏黏连打,攻击,黏黏,1,0,0,,0,0,攻击距离内任意单位,damage_from_triggerer_attack_plus_base_repeat,让一个我方英雄对攻击距离内任意单位造成1+攻击力伤害,使用者为黏黏,额外再执行1次,,"【效果】让一个我方英雄，对攻击距离内的一个任意单位造成1+攻击力的伤害。
【特殊效果】若本卡由黏黏使用，额外释放一次。"
card_slime_pool,Vol.01,黏黏,粘液池,召唤,粘液,1,0,0,,0,0,己方任意角色2格范围内空格,summon_with_duration,召唤粘液池(不可被攻击)持续2回合,己方存在腐蚀黏黏,持续回合+1,,"【效果】在己方任意角色2格范围内无单位的格子召唤粘液池，不可被攻击，持续2回合。
【特殊效果】若己方存在腐蚀黏黏，持续回合+1。"
card_slime_spray,Vol.01,黏黏,粘液喷射,法术,粘液,1,0,0,,0,0,攻击距离+1内任意单位,apply_slime_or_heal_by_target_trait,让一个我方英雄对攻击距离+1内任意单位施加2层粘液,目标为己方黏黏,改为恢复3生命,,"【效果】让一个我方英雄，对攻击距离+1内的一个任意单位施加2层粘液。
【特殊效果】可对己方黏黏使用，效果变为恢复3生命。"
card_slime_attach,Vol.01,黏黏,粘液附着,法术,粘液|快速行动,1,0,0,,1,0,攻击距离+1内任意单位,apply_slime_and_root_or_sharp,施加1层粘液并使目标无法移动1阶段,目标为己方黏黏,改为获得1层尖锐持续2阶段,,"【效果】对攻击距离+1内任意单位施加1层粘液，并无法移动，持续1阶段。
【特殊效果】可对己方黏黏使用，效果变为获得1层尖锐，持续2阶段。""【效果】对攻击距离+1内任意单位施加1层粘液，并无法移动，持续1阶段。
【特殊效果】可对己方黏黏使用，效果变为获得1层尖锐，持续2阶段。"
card_slime_split,Vol.01,黏黏,黏黏分裂,召唤,黏黏,1,0,0,,0,0,场上带粘液单位,consume_slime_to_summon_spawn,消耗粘液每2层召唤1只幼崽(至少1只),无,幼崽死亡时为击杀者附加1层粘液,,"【效果】消耗所有附着有粘液的角色身上的粘液，每消耗2层粘液，在其周围可召唤格召唤1只黏黏幼崽（至少1只）。
【特殊效果】幼崽死亡时为击杀者附加1层粘液。"
card_slime_merge,Vol.01,黏黏,黏黏合体,法术,黏黏,1,0,0,,0,0,己方1个黏黏幼崽,merge_all_spawn_to_target,消灭其他幼崽并将其属性加法叠加给目标幼崽,无,,,【效果】以己方1只黏黏幼崽为对象，消灭其余黏黏幼崽，将被消灭幼崽的属性以加法叠加至对象身上。
card_slime_boom,Vol.01,黏黏,黏黏爆炸,攻击,黏黏,0,0,0,全生命值,0,0,己方1个单位,explode_by_current_hp,目标死亡并对周围1格造成其当前生命值伤害,使用者为黏黏,对随机敌人重复附加粘液(次数=生命值),若目标为幼崽可同时引爆所有幼崽,"【效果】以己方1个单位为对象发动，使用后该单位死亡，对周围1格内所有单位造成其当前生命值伤害；对黏黏幼崽使用时可同时引爆所有幼崽。
【特殊效果】若使用者为黏黏，对场上随机存活敌人附加粘液，重复次数等于该单位生命值。"
card_slime_sharpen,Vol.01,黏黏,黏黏磨刀,法术,黏黏|快速行动,1,0,0,,1,0,己方单位,add_damage_this_turn,本回合造成伤害+2,使用者为黏黏且消耗随机2层粘液,本回合再+3,,"【效果】使用者本回合造成伤害+2。
【特殊效果】若使用者为黏黏，额外消耗随机2层粘液，本回合造成伤害再+2。"
card_slime_run,Vol.01,黏黏,黏黏快跑,法术,黏黏,1,0,0,,0,0,己方单位,move_fixed_or_to_spawn,移动2格,使用者为黏黏,可直接移动到任意己方幼崽所在格,,"【效果】移动2格。
【特殊效果】若使用者为黏黏，可直接移动到场上任意黏黏幼崽所在格。"
card_slime_detonate,Vol.01,黏黏,粘液引爆,法术,粘液,2,0,0,,0,0,任意单位,damage_repeat_consume_slime,对目标造成1伤害,目标有粘液,消耗1层粘液并再次执行直到不能继续,,"【效果】对任意单位造成1伤害。
【特殊效果】若目标身上存在粘液，消耗1层粘液，再次执行该效果，直到无法继续。"
card_warrior_charge_wild,Vol.02,战士,野蛮冲锋,法术,冲锋,1,0,0,,0,0,方向位移,charge_push_and_self_damage,向某方向最多移动3格；路径有单位则将其位移1；对自己造成1伤害,使用者为战士,自己不受伤且对路径敌人造成1伤害(视为攻击),,"【效果】向某个方向移动最多3格，若路径上存在单位，则将该单位向周围位移1格，对自己造成1伤害。
【特殊效果】若本卡由战士使用，则不会对自己造成伤害，同时对路径上所有敌方单位造成1伤害，该伤害视为攻击。"
card_warrior_charge_brave,Vol.02,战士,英勇冲锋,法术,冲锋,0,3,0,,0,0,方向位移,charge_stop_before_unit,向某方向最多移动3格；停在该单位前；对自己造成1伤害,使用者为战士,自己不受伤且若停留单位为敌方则造成1伤害(视为攻击),,"【效果】向某个方向移动最多3格，若路径上存在单位，则自身停留在该单位前，对自己造成1伤害。
【特殊效果】若本卡由战士使用，则不会对自己造成伤害，若停留单位为敌方则造成1伤害，该伤害视为攻击。"
card_warrior_charge_fearless,Vol.02,战士,无畏冲锋,攻击,冲锋,1,0,0,,0,0,方向位移,charge_aoe_path_damage,向某方向最多移动1格；路径单位位移1；对路径所有单位造成1伤害(视为攻击),使用者为战士,额外造成1伤害,,"【效果】向某个方向移动最多1格，若路径上存在单位，则将该单位向周围位移1格，对路径上所有单位造成1伤害，该伤害视为攻击。
【特殊效果】若本卡由战士使用，额外造成1伤害。""【效果】向某个方向移动最多2格，若路径上存在单位，则将该单位向周围位移1格，对路径上所有单位造成1伤害，该伤害视为攻击。
【特殊效果】若本卡由战士使用，额外造成1伤害。"
card_warrior_heavy,Vol.02,战士,战士重击,攻击,战士,1,0,0,,0,0,攻击距离内单位,damage_from_user_attack_plus_base,造成1+攻击力伤害,使用者为战士,额外附加1层流血,,"【效果】造成1+攻击力的伤害。
【特殊效果】若本卡由战士使用，则额外附加1层流血。"
card_warrior_rage,Vol.02,战士,战士怒击,攻击,战士,1,0,0,,0,0,攻击距离内单位,damage_from_user_attack_plus_base,造成1+攻击力伤害,使用者为战士,额外+1伤害并附加1层流血,,"【效果】造成1+攻击力的伤害。
【特殊效果】若本卡由战士使用，额外扣除1生命值，额外造成1点伤害，同时附加1层流血。"
card_warrior_slash,Vol.02,战士,战士斩击,攻击,战士,2,0,0,,0,0,攻击距离内所有敌方单位,damage_from_user_attack_plus_base_aoe,对攻击距离内所有敌方单位造成1+攻击力伤害,使用者为战士,附加1层流血,,"【效果】造成1+攻击力的伤害。
【特殊效果】若本卡由战士使用，附加1层流血。"
