hero_id,阵营,系列,名称,攻击力,生命值,移动力,攻击距离,字段,被动_text,技能_cost_mana,技能_cost_hp,技能_cost_discard,技能_限次,技能_text,觉醒_触发_text,觉醒_cost_text,觉醒_限次,觉醒_text,player_read_text
hero_slime_blood,黏黏,黏黏(栗子球),血腥黏黏,1,12,5,6,黏黏|粘液,己方黏黏对带粘液敌方单位造成伤害时恢复1生命,1,0,0,每回合1次,对攻击距离内1名敌人造成1+粘液层数/2伤害,场上有敌人粘液层数>=4时激活,无,条件激活后可用,对所有满足条件敌人造成1+粘液层数/2伤害并移除其全部粘液,"【被动】己方黏黏对带粘液敌方单位造成伤害时恢复1生命。
【技能】消耗1法力，每回合1次：对攻击距离内1名敌人造成1+其粘液层数/2（向下取整）的伤害。
【觉醒】场上有敌人粘液层数≥4时可发动：对所有满足条件的敌人造成1+其粘液层数/2（向下取整）的伤害并移除其全部粘液。"
hero_slime_corrosive,黏黏,黏黏(栗子球),腐蚀黏黏,1,14,5,5,黏黏|粘液,身上持有粘液的敌方单位移动力-1(不叠加),0,0,0,被动,被动生效,默认可用,无,每回合1次,向任意目标施放粘液共4次(可分配给不同单位),"【被动】身上持有粘液的敌方单位移动力-1（不叠加）。
【觉醒】每回合1次：向任意目标施放粘液共4次（可分配给不同单位）。"
hero_slime_giant,黏黏,黏黏(栗子球),巨臂黏黏,1,11,5,5,黏黏|粘液,,0,0,0,每回合1次,使攻击距离内带粘液敌人位移1+粘液层数/3,任意友方角色死亡后激活,无,全局1次,开启真巨臂形态本局内每次造成位移都会对目标造成等同位移距离的伤害,"【技能】每回合1次：使攻击距离内带粘液的敌人位移，距离为1+粘液层数/3（向下取整）。
【觉醒】任意友方角色死亡后激活（全局1次）：进入真巨臂形态；本局内每次对其造成位移时，按位移距离对其造成伤害。"
hero_slime_hard,黏黏,黏黏(栗子球),坚硬黏黏,0,15,5,5,黏黏|粘液,自己的粘液可对友军施加且友军受伤时按粘液层数减伤并移除对应层数,0,0,0,被动,被动生效,默认可用,每2回合1次,按当前生命值/2次,向单个友军施放粘液(次数=当前生命值/2向下取整),"【被动】自己的粘液可对友军施加；友军受伤时按粘液层数减伤并移除对应层数。
【觉醒】每2回合1次：向单个友军施放粘液，次数=当前生命值/2（向下取整）。"
hero_slime_hard2,黏黏,黏黏(栗子球),坚硬黏黏2,1,13,5,5,黏黏|粘液,自己的粘液可对友军施加且友军受伤时按粘液层数减伤并移除对应层数,0,0,1,每回合1次,弃1手牌对攻击距离内敌人造成攻击力伤害并在其相邻空格召唤黏黏幼崽(1/1),无,无,无,无,"【被动】同坚硬黏黏。
【技能】每回合1次，弃1张手牌：对攻击距离内1名敌人造成等同攻击力的伤害，并在其相邻空格召唤黏黏幼崽（1/1）。"
hero_warrior_jungle,战士,战士(青眼),丛林战士,1,15,4,1,战士|流血,不会受到减少移动效果影响,0,0,0,被动,被动生效,累计4次常规移动外位移后激活,无,每回合1次,可移动最多当前生命值距离并对移动后1格内单体敌人造成(最大生命值-当前生命值)伤害,"【被动】不会受到减少移动效果影响。
【觉醒】累计进行4次常规移动以外的位移后激活，每回合1次：可移动最多等同于当前生命值的距离，并对移动结束后距离1以内的单体敌人造成等同于（最大生命值－当前生命值）的伤害。"
hero_warrior_berserker,战士,战士(青眼),狂战士,1,12,3,2,战士|流血,获得的尖锐不会因时间减少,0,0,0,被动,被动生效,自身生命值<3时激活,无,激活后可用,对攻击距离内所有敌人造成攻击力伤害后自身死亡(无法免疫),"【被动】获得的尖锐不会因时间减少。
【觉醒】自身生命值小于3时激活：对攻击距离内所有敌人造成等同攻击力的伤害，此后自身死亡（无法免疫）。"
hero_warrior_sacrifice,战士,战士(青眼),牺牲战士,2,14,3,1,战士|流血,使用卡牌若cost包含生命值则额外造成1点伤害,0,0,0,被动,被动生效,默认可用,4生命值,每回合1次,使一位友军获得2层尖锐持续1回合,"【被动】使用费用中包含生命值的卡牌时，额外造成1点伤害。
【技能】每回合1次，支付4生命值：使一名友军获得2层尖锐，持续1回合。"
hero_warrior_guard,战士,战士(青眼),守护战士,0,18,3,2,战士|守护,默认不能使用攻击类卡牌且生命<=10时受伤-1,0,0,0,被动,被动生效,友方英雄死亡时可发动一次觉醒1,无,觉醒1全局1次,移除不能攻击被动并生命上限-8攻击+2,"【被动】默认不能使用攻击类卡牌；生命≤10时受到的伤害-1。
【觉醒】友方英雄死亡时可发动觉醒1（全局1次）：移除不能使用攻击类卡牌的被动，生命上限-8，攻击+2。"
hero_warrior_guard_2,战士,战士(青眼),守护战士(守护技),0,18,3,2,战士|守护,,0,0,0,每回合1次,对攻击距离内1名友军释放守护(其受攻击时一半伤害转移给守护战士),默认可用,无,每回合1次,同技能描述,"【技能】每回合1次：对攻击距离内1名友军释放守护（其受攻击时一半伤害转移给守护战士）。
【觉醒】默认可用，每回合1次：同技能描述。"
hero_warrior_blueeye,战士,战士(青眼),青眼战士,2,12,3,1,战士|流血,,1,0,0,每回合1次,对移动距离内敌方单位冲锋造成攻击力伤害并附加1层流血,周围有单位流血>2层时激活,无,每回合1次,对该单位造成等同流血层数伤害,"【技能】消耗1法力，每回合1次：对移动距离内的敌方单位冲锋，造成攻击力伤害并附加1层流血。
【觉醒】周围有单位流血层数大于2时激活，每回合1次：对该单位造成等同于其流血层数的伤害。"
