ability_id,card_id,trigger,target_rule,value,mana_cost,hp_cost,discard_cost,uses_per_turn,effect_set_id,condition_triggerer_trait,condition_triggerer_trait_value,chain_next,status_type,status_value,status_duration
vc5_slime_heavy_pick,card_slime_heavy,OnPlay,SelectAllyHero,0,0,0,0,0,eff_store_triggerer,,,vc5_slime_heavy_hit,,0,0
vc5_slime_heavy_hit,card_slime_heavy,None,SelectEnemyInTriggererRange,2,0,0,0,0,eff_slime_heavy_hit,,,vc5_slime_heavy_extra,,0,0
vc5_slime_heavy_extra,card_slime_heavy,None,LastTargeted,1,0,0,0,0,eff_apply_slime_1,slime,1,,Slime,1,0
vc5_slime_combo_pick,card_slime_combo,OnPlay,SelectAllyHero,0,0,0,0,0,eff_store_triggerer,,,vc5_slime_combo_hit,,0,0
vc5_slime_combo_hit,card_slime_combo,None,SelectAnyInTriggererRange,1,0,0,0,0,eff_slime_combo_hit,,,vc5_slime_combo_extra,,0,0
vc5_slime_combo_extra,card_slime_combo,None,LastTargeted,1,0,0,0,0,eff_slime_combo_extra,slime,1,,,0,0
vc5_slime_spray_pick,card_slime_spray,OnPlay,SelectAllyHero,0,0,0,0,0,eff_store_triggerer,,,vc5_slime_spray_hit,,0,0
vc5_slime_spray_hit,card_slime_spray,None,SelectAnyInTriggererRangePlus1,0,0,0,0,0,eff_slime_spray_apply_or_heal,,,,,0,0
vc5_slime_pool_play,card_slime_pool,OnPlay,SelectEmptySlotNearAlly2,0,0,0,0,0,eff_slime_pool_summon,,,,Sleep,1,2
vc5_slime_attach_pick,card_slime_attach,OnPlay,SelectAllyHero,0,0,0,0,0,eff_store_triggerer,,,vc5_slime_attach_hit,,0,0
vc5_slime_attach_hit,card_slime_attach,None,SelectAnyInTriggererRangePlus1,0,0,0,0,0,eff_slime_attach_status,,,,,0,0
vc5_slime_split,card_slime_split,OnPlay,SelectAnyWithSlime,0,0,0,0,0,eff_slime_split_summon,,,,,0,0
vc5_slime_merge,card_slime_merge,OnPlay,SelectAllySlimeSpawn,0,0,0,0,0,eff_slime_merge,,,,,0,0
vc5_slime_boom_pick,card_slime_boom,OnPlay,SelectAllyHero,0,0,0,0,0,eff_store_triggerer,,,vc5_slime_boom,,0,0
vc5_slime_boom,card_slime_boom,None,SelectAllyCard,0,0,0,0,0,eff_slime_boom_explode,,,vc5_slime_boom_extra,,0,0
vc5_slime_boom_extra,card_slime_boom,None,LastTargeted,0,0,0,0,0,eff_slime_boom_random_slime,slime,1,,,0,0
vc5_slime_sharpen_pick,card_slime_sharpen,OnPlay,SelectAllyCard,0,0,0,0,0,eff_slime_sharpen,,,,AddAttack,2,1
vc5_slime_run_pick,card_slime_run,OnPlay,SelectAllyHero,0,0,0,0,0,eff_store_triggerer,,,vc5_slime_run_move,,0,0
vc5_slime_run_move,card_slime_run,None,SelectEmptySlotRange2OrAllySpawnIfSlime,0,0,0,0,0,eff_slime_run_move,,,,,0,0
vc5_slime_detonate,card_slime_detonate,OnPlay,SelectAnyCard,1,0,0,0,0,eff_slime_detonate,,,,,0,0
id,title,trigger,target,mana_cost,hp_cost,discard_cost,fast_action,uses_per_turn,effects,status,value,duration,conditions_trigger,conditions_target,chain_abilities
vc5_blood_slime_skill,血腥喷溅,Activate,SelectTarget,1,0,0,0,1,effect_damage_from_target_status_slime_div2,,1,0,,enemy_card|range_from_triggerer_0,
vc5_blood_slime_awake,粘液引爆,Activate,AllCardsBoard,0,0,0,0,1,effect_damage_from_target_status_slime_div2_clear,,1,0,any_enemy_status_slime_ge_4,enemy_card|status_slime_ge_4,
vc5_corrosive_slime_awake,腐蚀喷洒,Activate,SelectTarget,0,0,0,0,1,,slime,4,0,,any_card,
vc5_giant_slime_move,巨臂甩击,Activate,SelectTarget,0,0,0,0,1,effect_move_target_by_slime_div3_base1,,,,,enemy_card|status_slime_ge_1|range_from_triggerer_0,
vc5_giant_slime_awake,真巨臂形态,Activate,Self,0,0,0,0,1,,giant_arm_awakened,1,0,,,,
vc5_hard_slime_awake,防护粘液,Activate,SelectTarget,0,0,0,0,1,,slime,2,0,,ally_card,
vc5_hard2_slime_skill,幼崽投掷,Activate,SelectTarget,0,0,1,0,1,effect_damage_from_caster_attack|effect_summon_adjacent_slime_spawn,,,,,enemy_card|range_from_triggerer_0,
vc5_slime_heavy_pick,选择我方单位,OnPlay,SelectTarget,0,0,0,0,0,effect_store_selected_unit_stats,,,,,ally_card,vc5_slime_heavy_hit
vc5_slime_heavy_hit,重击,None,SelectTarget,0,0,0,0,0,effect_damage_2_plus_selected_attack,slime,1,0,,enemy_card|range_from_triggerer_0,
vc5_slime_combo_pick,选择我方单位,OnPlay,SelectTarget,0,0,0,0,0,effect_store_selected_unit_stats,,,,,ally_card,vc5_slime_combo_hit
vc5_slime_combo_hit,连打,None,SelectTarget,0,0,0,0,0,effect_damage_1_plus_selected_attack,,,0,0,,enemy_card|range_from_triggerer_0,vc5_slime_combo_extra
